Date,Open,High,Low,Close,Adj Close
2020-01-02,28.299999,29.280001,28.299999,28.75,28.75
2020-01-03,29.33,32.279999,27.9,31.92,31.92
2020-01-06,31.92,32.959999,30.52,32.32,32.32
2020-01-07,33.060001,33.060001,30.6,31.799999,31.799999
2020-01-08,31.799999,34.419998,30.93,32.599998,32.599998
2020-01-09,33.84,33.84,32.279999,33.220001,33.220001
2020-01-10,33.220001,33.220001,29.879999,30.379999,30.379999
2020-01-13,30.379999,37.139999,30.379999,34.25,34.25
2020-01-14,28.469999,35.419998,28,33.619999,33.619999
2020-01-15,33.619999,34.43,28.58,33.380001,33.380001
2020-01-16,33.380001,33.380001,27.65,29.790001,29.790001
2020-01-17,27.370001,28.9,27.110001,28.6,28.6
2020-01-21,28.6,30.549999,25.879999,27.66,27.66
2020-01-22,27.66,32.98,27.1,30.700001,30.700001
2020-01-23,29.67,35.93,29.67,31.950001,31.950001
2020-01-24,31.950001,35.34,31.950001,34.549999,34.549999
2020-01-27,39.290001,40.580002,36.5,37.720001,37.720001
2020-01-28,37.720001,37.720001,34.509998,36.419998,36.419998
2020-01-29,36.419998,36.48,34.330002,35.73,35.73
2020-01-30,35.73,41.200001,35.73,37.490002,37.490002
2020-01-31,38.900002,41.540001,38.330002,40.349998,40.349998
2020-02-03,40.349998,42.349998,39.91,41.810001,41.810001
2020-02-04,41.810001,41.810001,38.369999,39.439999,39.439999
2020-02-05,39.439999,57.150002,36.689999,37.880001,37.880001
2020-02-06,37.68,38.57,36.049999,36.439999,36.439999
2020-02-07,36.439999,38.110001,36.419998,37.509998,37.509998
2020-02-10,38.18,39.029999,37.5,39.009998,39.009998
2020-02-11,39.009998,39.009998,36.91,37.52,37.52
2020-02-12,37.52,37.52,34.720001,35.580002,35.580002
2020-02-13,35.580002,37.810001,34.549999,35.84,35.84
2020-02-14,35.84,35.93,35.84,35.93,35.93
2020-02-18,35.93,36.360001,33.459999,33.470001,33.470001
2020-02-19,33.470001,33.470001,31.08,32.27,32.27
2020-02-20,32.27,34.080002,31.25,33.16,33.16
2020-02-21,34.990002,36.849998,34.869999,35.869999,35.869999
2020-02-24,35.869999,42.16,35.869999,39.529999,39.529999
2020-02-25,39.529999,44.349998,38.73,42.5,42.5
2020-02-26,42.5,45.349998,40.52,43.400002,43.400002
2020-02-27,43.400002,61.98,43.400002,49.419998,49.419998
2020-02-28,49.419998,57.259998,44.810001,51.25,51.25
2020-03-02,45.060001,54.73,44.290001,48.330002,48.330002
2020-03-03,48.330002,69.360001,45.009998,50.799999,50.799999
2020-03-04,50.799999,52.560001,43.73,50.59,50.59
2020-03-05,50.23,53.259998,45.790001,52.580002,52.580002
2020-03-06,56.040001,66.410004,56.040001,65.019997,65.019997
2020-03-09,134.619995,270.450012,107.849998,115.919998,115.919998
2020-03-10,115.919998,282.450012,92.480003,92.93,92.93
2020-03-11,92.93,139.639999,92.93,105.25,105.25
2020-03-12,105.25,140.729996,96.400002,123.449997,123.449997
2020-03-13,123.449997,334.399994,92.540001,118.480003,118.480003
2020-03-16,118.290001,254.789993,118.290001,128.5,128.5
2020-03-17,138.740005,138.740005,119.330002,133.320007,133.320007
